hotel_id,hotel_name,hotel_user_rating,hotel_expedia_rating,hotel_add_str,hotel_add_city,hotel_add_state,hotel_add_zip,hotel_total_rooms,hotel_price_lower($),hotel_price_upper($)
72572,Best Western Plus Pioneer Square Hotel,4.5,2.5,77 Yesler Way,Seattle,WA,98104,72,113,402
73821,Hilton Phoenix Airport,4,3.5,2435 S 47th St,Phoenix,AZ,85034,259,82,300
73855,Hyatt Regency Phoenix,4,3.5,122 N 2nd St,Phoenix,AZ,85004,693,118,349
73943,Royal Palms Resort and Spa,4.5,5.0,5200 East Camelback Road,Phoenix,AZ,85018,119,268,723
73950,Sleep Inn Airport,3.5,2.5,2621 S 47th Pl,Phoenix,AZ,85034,105,74,160
73957,Pointe Hilton Squaw Peak Resort,4,4.0,7677 North 16th Street,Phoenix,AZ,85020,563,155,365
74583,"Country Inn & Suites by Carlson, Phoenix Airport",4,3.0,4702 E University Dr,Phoenix,AZ,85034,88,76,239
74626,Legacy Golf Resort,4,3.5,6808 S 32nd St,Phoenix,AZ,85042,328,130,280
76083,Sofitel Los Angeles at Beverly Hills,4.5,4.0,8555 Beverly Blvd,Los Angeles,CA,90048,295,254,530
77270,Hollywood Orchid Suites,4.5,2.0,1753 Orchid Ave,Los Angeles,CA,90028,40,171,248
77629,Hotel Boston,3.5,3.0,1650 Commonwealth Ave,Boston,MA,02135,74,97,275
77638,The Inn at Longwood Medical,4,3.5,342 Longwood Ave,Boston,MA,02115,155,144,372
77714,DoubleTree by Hilton Hotel Los Angeles Downtown,4,3.5,120 South Los Angeles Street,Los Angeles,CA,90012,434,192,387
77775,Kimpton Hotel Palomar Los Angeles Beverly Hills,4,4.0,10740 Wilshire Blvd,Los Angeles,CA,90024,264,237,388
77804,Omni Los Angeles at California Plaza,4.5,4.5,251 S Olive St,Los Angeles,CA,90012,453,218,470
77827,Luxe Sunset Boulevard Hotel,4,4.0,11461 W Sunset Blvd,Los Angeles,CA,90049,160,220,356
77866,Millennium Biltmore Los Angeles,3.5,3.5,506 South Grand Avenue,Los Angeles,CA,90071,683,195,342
77944,Renaissance Los Angeles Airport Hotel,4,4.0,9620 Airport Blvd,Los Angeles,CA,90045,499,137,252
78682,The Garland,4.5,4.0,4222 Vineland Avenue,Los Angeles,CA,91602,257,209,335
78688,Sportsmen's Lodge Hotel,3.5,3.5,12825 Ventura Boulevard,Los Angeles,CA,91604,190,158,275
78694,Hilton Los Angeles/Universal City,4,3.5,555 Universal Hollywood Drive,Los Angeles,CA,91608,495,226,433
79500,Best Western The Plaza Hotel,3.5,2.5,3253 N Nimitz Hwy,Honolulu,HI,96819,274,150,252
80275,Holiday Inn Port of Miami Downtown,3.5,3.5,340 Biscayne Boulevard,Miami,FL,33132,200,135,332
80747,Stanford Court San Francisco,4,4.0,905 California Street,San Francisco,CA,94108,393,153,523
80756,Adante Hotel,3,3.0,610 Geary St,San Francisco,CA,94102,92,112,287
80771,The Herbert Hotel,4,2.5,161 Powell Street,San Francisco,CA,94102,99,102,"1,161"
80774,Hotel Stratford,3.5,2.0,242 Powell St,San Francisco,CA,94102,90,108,326
80786,King George Hotel - A Greystone Hotel,3.5,3.0,334 Mason St,San Francisco,CA,94102,153,106,289
80788,The Monarch Hotel,2.5,2.0,1015 Geary St,San Francisco,CA,94109,101,100,191
80793,Hotel Nikko San Francisco,4,4.0,222 Mason St,San Francisco,CA,94102,532,188,538
80802,Serrano Hotel,4,4.0,405 Taylor St,San Francisco,CA,94102,236,153,416
80836,Hotel Beresford,3.5,2.0,635 Sutter St,San Francisco,CA,94102,114,103,211
80879,Civic Center Motor Inn,3,2.0,364 9th St,San Francisco,CA,94103,57,79,148
80920,Hotel Bijou,3.5,2.5,111 Mason St,San Francisco,CA,94102,65,108,388
80930,Comfort Inn by the Bay,3.5,2.5,2775 Van Ness Avenue,San Francisco,CA,94109,138,126,337
80937,Cornell Hotel de France,4.5,3.5,715 Bush Street,San Francisco,CA,94108,58,116,276
80983,Hotel Drisco,5,4.0,2901 Pacific Avenue,San Francisco,CA,94115,48,420,806
80987,Presidio Inn & Suites,2,2.0,2361 Lombard St,San Francisco,CA,94123,24,79,283
80990,Galleria Park Hotel,4.5,4.0,191 Sutter Street,San Francisco,CA,94104,177,179,466
80999,Grand Hyatt San Francisco,4,4.0,345 Stockton Street,San Francisco,CA,94108,660,166,633
81004,Grant Plaza Hotel,3,2.0,465 Grant Ave,San Francisco,CA,94108,72,103,206
81019,Handlery Union Square Hotel,4,3.5,351 Geary Street,San Francisco,CA,94102,377,151,391
81022,Harbor Court Hotel,4,3.5,165 Steuart Street,San Francisco,CA,94105,131,163,572
81035,Holiday Inn Civic Center (San Francisco),3.5,3.5,50 8th St,San Francisco,CA,94103,388,140,376
81038,Hilton San Francisco Financial District,4,4.0,750 Kearny Street,San Francisco,CA,94108,543,155,450
81042,Holiday Inn San Francisco Fishermans Wharf,3.5,3.5,1300 Columbus Avenue,San Francisco,CA,94133,585,131,447
81049,Holiday Inn San Francisco Golden Gateway,4,3.5,1500 Van Ness Avenue,San Francisco,CA,94109,499,146,442
81082,Courtyard San Francisco Fisherman's Wharf,4,3.0,580 Beach St,San Francisco,CA,94133,127,181,492
81103,Hyatt Regency San Francisco,4,4.0,5 Embarcadero Center,San Francisco,CA,94111,804,180,665
81110,Taj Campton Place,4.5,5.0,340 Stockton St,San Francisco,CA,94108,110,282,586
81141,San Francisco Marriott Fisherman's Wharf,4,3.5,1250 Columbus Avenue,San Francisco,CA,94133,285,171,519
81165,Hotel Abri,4,3.5,127 Ellis Street,San Francisco,CA,94102,91,173,402
81169,The Mosser,4,2.5,54 Fourth Street,San Francisco,CA,94103,166,104,310
81170,Hotel Erwin,4.5,4.0,1697 Pacific Avenue,Los Angeles,CA,90291,119,313,467
81177,Nob Hill Motor Inn,4,2.0,1630 Pacific Ave,San Francisco,CA,94109,29,113,248
81204,Le Meridien San Francisco,4,4.0,333 Battery St,San Francisco,CA,94111,360,187,595
81241,Hotel Whitcomb,3.5,3.5,1231 Market Street,San Francisco,CA,94103,460,117,584
81246,City Center Inn & Suites - San Francisco,2,2.0,240 7th St,San Francisco,CA,94103,68,91,262
81249,Redwood Inn,4,2.0,1530 Lombard St,San Francisco,CA,94123,33,112,180
81251,The Opal San Francisco,3.5,2.5,1050 Van Ness Avenue,San Francisco,CA,94109,167,115,271
81315,San Francisco Marriott Marquis,4,4.0,780 Mission Street,San Francisco,CA,94103,1500,177,602
81367,Seal Rock Inn,3.5,,545 Point Lobos Ave,San Francisco,CA,94121,27,110,162
81375,Sheraton Fisherman's Wharf Hotel,3.5,4.0,2500 Mason Street,San Francisco,CA,94133,531,161,401
81377,Kimpton Sir Francis Drake Hotel,4,4.0,450 Powell Street,San Francisco,CA,94102,416,156,469
81394,The Donatello,4.5,3.5,501 Post Street,San Francisco,CA,94102,94,160,451
81409,The Inn at Union Square - A Greystone Hotel,4.5,3.5,440 Post St,San Francisco,CA,94102,30,219,392
81416,Hotel Majestic,3.5,3.5,1500 Sutter St,San Francisco,CA,94109,58,128,281
81444,JW Marriott San Francisco Union Square,4,4.0,515 Mason Street,San Francisco,CA,94102,337,186,564
81461,The Westin St. Francis San Francisco on Union Square,4,4.0,335 Powell Street,San Francisco,CA,94102,1195,194,617
81466,The Wharf Inn,3.5,2.0,2601 Mason Street,San Francisco,CA,94133,51,158,414
81480,Greenwich Inn,3,2.0,3201 Steiner St,San Francisco,CA,94123,32,115,288
1223830,Travelodge San Francisco Central,2,2.0,1707 Market St,San Francisco,CA,94103,84,74,334
81503,Travel Inn,3.5,2.0,2230 Lombard St,San Francisco,CA,94123,29,80,258
81511,Travelodge at the Presidio San Francisco,4,2.0,2755 Lombard St,San Francisco,CA,94123,27,235,270
81514,Hotel Triton,4,3.0,342 Grant Ave,San Francisco,CA,94108,140,170,457
81520,Hotel Union Square,4,3.5,114 Powell Street,San Francisco,CA,94102,131,128,462
81531,Executive Hotel Vintage Court,3.5,3.0,650 Bush St,San Francisco,CA,94108,106,121,434
81553,Travelodge San Francisco Airport North,2.5,2.0,326 S Airport Blvd,South San Francisco,CA,94080,199,68,377
81669,W San Francisco,4,4.0,181 3rd St,San Francisco,CA,94103,404,167,631
81765,Crowne Plaza Los Angeles Harbor Hotel,3.5,3.5,601 S Palos Verdes St,Los Angeles,CA,90731,244,131,226
81768,Vagabond Inn San Pedro,3.5,2.0,215 S Gaffey St,Los Angeles,CA,90731,72,103,118
81782,Edwardian San Francisco Hotel,3.5,2.0,1668 Market St,San Francisco,CA,94102,36,112,165
81803,Hotel Vertigo,4,3.5,940 Sutter Street,San Francisco,CA,94109,102,136,377
81976,SF Plaza Hotel,3,2.5,510 Bush St,San Francisco,CA,94108,64,114,185
81985,"The Marker San Francisco, A Joie de Vivre Hotel",4.5,4.0,501 Geary St,San Francisco,CA,94102,208,179,507
82114,La Luna Inn,3.5,2.5,2599 Lombard St,San Francisco,CA,94123,62,99,273
82116,Marina Motel,4,2.0,2576 Lombard St,San Francisco,CA,94123,40,158,275
82578,Beverly Laurel Motor Hotel,3.5,3.0,8018 Beverly Blvd,Los Angeles,CA,90048,52,158,277
84440,Howard Johnson Inn & Suites Reseda,4,2.0,7432 Reseda Boulevard,Los Angeles,CA,91335,74,102,174
84502,Magic Castle Hotel,4.5,3.5,7025 Franklin Avenue,Los Angeles,CA,90028,40,229,424
84522,Hotel Angeleno,4,3.5,170 North Church Lane,Los Angeles,CA,90049,209,167,271
84561,The Orlando Hotel,4,3.5,8384 W 3rd St,Los Angeles,CA,90048,95,222,334
84993,Palmeiras Beach Club at Grove Isle,3.5,4.0,4 Grove Isle Dr,Miami,FL,33133,50,245,327
85005,Red Roof Plus+ Miami Airport,3.5,2.5,3401 NW Lejeune Road,Miami Springs,FL,33134,155,100,206
85007,Days Inn Miami International Airport,3,2.0,7250 NW 11th St,Miami,FL,33126,103,93,219
85027,Hyatt Regency Miami,3.5,4.0,400 SE 2nd Ave,Miami,FL,33131,612,157,402
85029,InterContinental Miami,4.5,4.0,100 Chopin Plaza,Miami,FL,33131,641,144,487
85031,Miami Marriott Biscayne Bay,4,4.0,1633 North Bayshore Drive,Miami,FL,33132,580,161,453
