hotel_id,nearby_hotel_name,rating,reviews,distance
72572,Motif Seattle,4,508,.58
72572,Kimpton Alexis Hotel,4.5,2092,.25
72572,Sheraton Seattle Hotel,4,4663,.63
72572,The Fairmont Olympic Seattle,4.5,3135,.47
73821,Courtyard Phoenix Airport,4,299,.10
73821,"Country Inn & Suites by Carlson, Phoenix Airport",4,401,.18
73821,GreenTree Inn & Suites Phoenix Sky Harbor,4,627,1.14
73821,Holiday Inn Hotel & Suites Phoenix Airport,4.5,363,.44
73855,Sheraton Grand Phoenix,4.5,1618,.19
73855,Westin Phoenix Downtown,4.5,839,.16
73855,Renaissance Phoenix Downtown Hotel,4.5,887,.09
73855,Kimpton Hotel Palomar Phoenix,4.5,1077,.18
73943,"The Phoenician, Scottsdale",4.5,2189,1.14
73943,Embassy Suites by Hilton Scottsdale Resort,4.5,452,2.53
73943,Omni Scottsdale Resort & Spa at Montelucia,4.5,2560,1.82
73943,The Canyon Suites at The Phoenician,5,436,.99
73950,"Country Inn & Suites by Carlson, Phoenix Airport",4,401,.15
73950,Hilton Phoenix Airport,4,1456,.06
73950,GreenTree Inn & Suites Phoenix Sky Harbor,4,627,1.09
73950,Holiday Inn Hotel & Suites Phoenix Airport,4.5,363,.39
73957,"Arizona Biltmore, A Waldorf Astoria Resort",4.5,2059,2.23
73957,Best Western InnSuites Phoenix Hotel & Suites,4,1006,.39
73957,Omni Scottsdale Resort & Spa at Montelucia,4.5,2560,4.45
73957,Pointe Hilton Tapatio Cliffs Resort,4,657,3.34
74583,La Quinta Inn Phoenix Sky Harbor Airport,4,710,.29
74583,Hilton Phoenix Airport,4,1456,.18
74583,GreenTree Inn & Suites Phoenix Sky Harbor,4,627,.99
74583,Holiday Inn Hotel & Suites Phoenix Airport,4.5,363,.29
74626,Hilton Phoenix Airport,4,1456,3.46
74626,Arizona Grand Resort & Spa,4,2890,2.80
74626,Drury Inn & Suites Phoenix Airport,4.5,660,1.97
74626,Hilton Garden Inn Phoenix Airport,4,793,2.12
76083,"SLS Hotel, A Luxury Collection Hotel, Beverly Hills",4,1878,.44
76083,Le Montrose Suite Hotel,4,1001,.98
76083,Elan Hotel,4.5,1405,.17
76083,Four Seasons Hotel Los Angeles at Beverly Hills,4.5,1422,.72
77270,Holiday Inn Express Hotel & Suites Hollywood Hotel Walk of Fame,4,1968,.24
77270,The Hollywood Roosevelt,4.5,2039,.17
77270,Loews Hollywood Hotel,4.5,3859,.07
77270,Hollywood Celebrity Hotel,4,2173,.05
77629,DoubleTree Suites by Hilton Boston-Cambridge,4,1862,1.83
77629,Courtyard by Marriott Boston Brookline,4,494,1.05
77629,Hotel Commonwealth,4.5,4523,2.50
77638,The Verb Hotel,4.5,2309,.66
77638,Residence Inn by Marriott Boston Back Bay/Fenway,4.5,1609,.59
77638,Hotel Commonwealth,4.5,4523,.90
77714,Omni Los Angeles at California Plaza,4.5,3866,.46
77714,The L.A. Hotel Downtown,4,1197,.79
77714,The Standard Downtown,3.5,1271,.81
77714,The Westin Bonaventure Hotel & Suites,4,2935,.76
77775,The Beverly Hilton,4,3746,1.46
77775,W Los Angeles - West Beverly Hills,4,564,.30
77775,InterContinental Los Angeles Century City,4.5,2058,1.52
77804,The L.A. Hotel Downtown,4,1197,.34
77804,The Standard Downtown,3.5,1271,.41
77804,The Westin Bonaventure Hotel & Suites,4,2935,.30
77804,Hilton Checkers Los Angeles,4,1314,.29
77827,Kimpton Hotel Palomar Los Angeles Beverly Hills,4,1712,2.04
77827,The Beverly Hilton,4,3746,3.27
77827,W Los Angeles - West Beverly Hills,4,564,1.75
77827,Hotel Angeleno,4,1810,.08
77866,Omni Los Angeles at California Plaza,4.5,3866,.28
77866,The L.A. Hotel Downtown,4,1197,.42
77866,The Westin Bonaventure Hotel & Suites,4,2935,.28
77866,The Standard Downtown,3.5,1271,.22
77944,Sheraton Gateway Los Angeles,4,677,.36
77944,Hilton Los Angeles Airport,3.5,4995,.33
77944,Crowne Plaza Los Angeles International Airport Hotel,4,1930,.29
77944,Los Angeles Airport Marriott,4,2762,.25
78682,Hilton Los Angeles/Universal City,4,3875,.90
78682,Sheraton Universal Hotel,3.5,1703,.76
78682,Nite Inn at Universal City,3,184,.62
78682,BLVD Hotel & Spa,4,437,.53
78688,Hilton Los Angeles/Universal City,4,3875,3.16
78688,Mikado Hotel,3.5,228,.83
78688,Studio City Court Yard Hotel,3.5,290,.16
78688,The Garland,4.5,3165,2.43
78694,Sheraton Universal Hotel,3.5,1703,.14
78694,Loews Hollywood Hotel,4.5,3859,2.54
78694,The Garland,4.5,3165,.90
78694,BLVD Hotel & Spa,4,435,.43
79500,Pacific Marina Inn Airport,2.5,459,.86
79500,Airport Honolulu Hotel,3.5,1054,.29
80275,Miami Marriott Biscayne Bay,4,3205,.90
80275,Hampton Inn & Suites by Hilton - Miami Brickell Downtown,4.5,3443,1.14
80275,InterContinental Miami,4.5,6445,.41
80275,Hilton Miami Downtown,4,3790,.90
80747,InterContinental Mark Hopkins San Francisco,4,2564,.05
80747,San Francisco Marriott Union Square,4,1840,.18
80747,Fairmont San Francisco,4.5,3432,.07
80747,Kimpton Sir Francis Drake Hotel,4,3359,.19
80756,Hilton San Francisco Union Square,3.5,2826,.17
80756,The Alise - A Staypineapple Hotel,4.5,600,.04
80756,Clift Hotel San Francisco,4,3603,.13
80756,"The Marker San Francisco, A Joie de Vivre Hotel",4.5,2839,.12
80771,Hotel Fusion,3.5,1293,.05
80771,The Westin St. Francis San Francisco on Union Square,4,5698,.11
80771,Hilton Parc 55 San Francisco,4,2607,.08
80771,Hotel Nikko San Francisco,4,3746,.06
80774,The Westin St. Francis San Francisco on Union Square,4,5698,.05
80774,Hilton Parc 55 San Francisco,4,2607,.14
80774,Hotel Nikko San Francisco,4,3746,.09
80774,Villa Florence,3.5,1901,.03
80786,Hilton San Francisco Union Square,3.5,2826,.11
80786,The Westin St. Francis San Francisco on Union Square,4,5698,.07
80786,Hilton Parc 55 San Francisco,4,2607,.13
80786,Hotel Nikko San Francisco,4,3746,.05
80788,"Hotel Carlton, a Joie de Vivre hotel",4,2932,.19
80788,Alexis Park San Francisco,3,139,.10
80788,The Opal San Francisco,3.5,1161,.06
80788,Motel 6 San Francisco Downtown,3,242,.12
80793,Hilton San Francisco Union Square,3.5,2826,.10
80793,Hotel Fusion,3.5,1294,.06
80793,The Westin St. Francis San Francisco on Union Square,4,5698,.12
80793,Hilton Parc 55 San Francisco,4,2607,.07
80802,Hilton San Francisco Union Square,3.5,2826,.06
80802,Clift Hotel San Francisco,4,3603,.05
80802,Hotel Nikko San Francisco,4,3746,.12
80802,"The Marker San Francisco, A Joie de Vivre Hotel",4.5,2839,.06
80836,Sheehan Hotel,3,1,.04
80836,Marines Memorial Club Hotel,4.5,782,.03
80836,The Westin St. Francis San Francisco on Union Square,4,5698,.14
80836,Hotel Rex San Francisco,4.5,1714,.07
80879,Hilton San Francisco Union Square,3.5,2826,.88
80879,San Francisco Inn,3.5,153,.03
80879,Hilton Parc 55 San Francisco,4,2607,.86
80879,Hotel Nikko San Francisco,4,3746,.92
80920,Hilton San Francisco Union Square,3.5,2826,.10
80920,Hotel Fusion,3.5,1294,.09
80920,Hilton Parc 55 San Francisco,4,2607,.06
80920,Hotel Nikko San Francisco,4,3746,.11
80930,Pier 2620 Hotel Fisherman's Wharf,4,1557,.54
80930,Lombard Motor Inn,4,614,.05
80930,"Argonaut Hotel, A Noble House Hotel",4.5,5887,.49
80937,The Orchard Hotel,4.5,2878,.04
80937,San Francisco Marriott Union Square,4,1840,.06
80937,Fairmont San Francisco,4.5,3432,.19
80937,Kimpton Sir Francis Drake Hotel,4,3359,.07
80983,Travelodge at the Presidio San Francisco,4,1170,.47
80983,"Laurel Inn, a Joie de Vivre hotel",4.5,84,.37
80983,"Hotel Kabuki, a Joie de Vivre hotel",4,2145,.93
80987,Hotel Drisco,5,1501,.50
80987,Cow Hollow Inn and Suites,4,1179,.17
80990,Omni San Francisco Hotel,4.5,5433,.23
80990,Grand Hyatt San Francisco,4,4881,.20
80990,The Westin St. Francis San Francisco on Union Square,4,5698,.31
80990,Palace Hotel,4.5,1346,.15
80999,Taj Campton Place,4.5,1262,.02
