hotel_id,nearby_restaurants_name,rating,reviews,distance
72572,Planet Java Diner,4.5,117,.04
72572,Cafe Paloma,4.5,100,.04
72572,Delicatus,4.5,114,.04
72572,Damn The Weather,4,78,.06
73821,Little Miss Bbq,4.5,354,.59
73821,Denny's,4,48,.31
73821,Arizona Sandwich Company,4.5,25,.64
73821,Yvonne's Cafe,5,7,.78
73855,Hanny's,4.5,264,.07
73855,Compass Arizona Grill,4,346,.01
73855,Nook Kitchen,4.5,52,.11
73855,The Kettle Black Kitchen and Pub,4,70,.09
73943,T. Cook's,4.5,635,.00
73943,The Henry,4,323,.93
73943,O.H.S.O. Eatery & nanoBrewery,4,240,.76
73943,Over Easy,4,176,.87
73950,Little Miss Bbq,4.5,354,.60
73950,Denny's,4,48,.25
73950,Arizona Sandwich Company,4.5,25,.59
73950,Yvonne's Cafe,5,7,.73
73957,Aunt Chilada's Squaw Peak,4,380,.32
73957,Tutti Santi,4.5,61,.19
73957,Babbo Italian Eatery,4.5,113,.79
73957,Thirteenorth Grille,4.5,65,.54
74583,Little Miss Bbq,4.5,354,.48
74583,Denny's,4,48,.27
74583,Arizona Sandwich Company,4.5,25,.68
74583,Yvonne's Cafe,5,7,.82
74626,Farm at South Mountain,4.5,168,.41
74626,Morning Glory Cafe,4.5,72,.40
74626,Quiessence,4,140,.39
74626,The Legacy Golf Resort Restaurant,4,63,.13
76083,Granville,4,18,.19
76083,Absolutely Phobulous,4,16,.10
76083,Real Food Daily - West Hollywood,4.5,111,.17
76083,Esterel,4,46,.03
77270,California Pizza Kitchen,4.5,569,.08
77270,Johnny Rockets,4,841,.09
77270,Cabo Wabo Cantina,3.5,242,.07
77270,Starbucks,4,108,.07
77629,Barcelona,4.5,519,.30
77629,The Abbey,4.5,145,.38
77629,The Publick House,4,215,.38
77629,Stoked Wood Fired Pizza Co.,4.5,31,.42
77638,Penguin Pizza,4.5,70,.31
77638,The Mission Bar & Grill,4,87,.32
77638,Longwood,4,100,.02
77638,Clover Food Lab (LMA),4.5,14,.17
77714,Redbird,4.5,175,.08
77714,BadmaashLA,4,82,.11
77714,Justice Urban Tavern,4,126,.03
77714,Curry House,4,58,.05
77775,Frida Mexican Cuisine,3,7,.30
77775,Napa Valley Grille,4,233,.34
77775,Panini Cafe,4.5,54,.30
77775,STK Los Angeles,4,67,.31
77804,Otium Restaurant,4,259,.13
77804,Blue Cow Kitchen & Bar,4,132,.09
77804,Noe Restaurant & Bar,4,192,.03
77804,Nick & Stef's Steakhouse,4,155,.14
77827,Getty Center Restaurant,4.5,553,.48
77827,The Cafe,4,136,.49
77827,West Restaurant and Lounge,4,140,.08
77827,Belwood Bakery,4.5,26,.56
77866,Water Grill,4.5,708,.10
77866,Perch,4.5,673,.11
77866,Pitchoun!,4.5,175,.05
77866,Le Pain Quotidien,4.5,42,.07
77944,Aliki's Greek Taverna,4.5,304,.24
77944,Zpizza,4,115,.24
77944,Denny's - Century Blvd.,4,642,.52
77944,JW's Steakhouse,4.5,130,.21
78682,The Front Yard,4.5,400,.03
78682,Vivian's Millenium Cafe,4.5,131,.35
78682,Rustic Spoon,4.5,24,.42
78682,Stout burgers and beers,4.5,98,.42
78688,The Six,4,56,.21
78688,Iroha,4.5,74,.21
78688,Pagliacci's,4.5,29,.32
78688,Five Guys,4.5,32,.17
78694,Wolfgang Puck Bistro,4,201,.19
78694,Miceli's,4,147,.21
78694,Saddle Ranch Chop House,4,391,.12
78694,Mel's Diner,4,122,.22
79500,Big Kahuna Pizza,4.5,214,.18
79500,Joe's Grill Express,4.5,30,.22
79500,Mitch's Fish Market & Sushi Bar,4.5,68,.36
79500,Starbucks,4,30,.16
80275,Bubba Gump Shrimp Co,4,3332,.10
80275,Hooters of Bayside,4,950,.13
80275,Five Guys Burgers and Fries,4,123,.13
80275,Tuyo Restaurant,4,141,.13
80747,Jeanne D'arc,4.5,462,.12
80747,Top of the Mark,4,969,.05
80747,Roxanne Cafe,4,793,.12
80747,Uncle Vito's Pizzeria,4,1182,.11
80756,Pearl's Deluxe Burgers,4.5,733,.07
80756,Resolute,5,6,.05
80756,Mensho Tokyo,4.5,50,.04
80756,Olympic Flame Cafe,4,124,.06
80771,Johnny Foley's,4,1096,.04
80771,Bartlett Hall,4,323,.04
80771,Tad's Steakhouse,4,689,.03
80771,Dojima-Ann,4,318,.02
80774,The Cheesecake Factory,4,5319,.04
80774,Daily Grill,4,1261,.04
80774,The Cheesecake Factory,4,444,.05
80774,Eno Wine Bar,4.5,288,.04
80786,Johnny Foley's,4,1096,.05
80786,Pinecrest Diner,4,1349,.03
80786,Daily Grill,4,1262,.04
80786,Cafe Mason,4,1016,.02
80788,Tommy's Joynt,4,574,.08
80788,Mel's Drive-In - Van Ness,4,412,.07
80788,Jane on Larkin,4.5,46,.12
80788,De Afghanan Kabob House,4.5,29,.02
80793,Johnny Foley's,4,1096,.02
80793,The Old Siam Thai Restaurant,4,499,.05
80793,Cafe Mason,4,1016,.05
80793,Kin Khao,4,311,.06
80802,Taylor Street Coffee Shop,4.5,1014,.03
80802,La Marsa,5,41,.07
80802,Tratto,4,145,.05
80802,Urban Tavern,3.5,381,.04
80836,The Owl Tree Bar,4,39,.07
80836,Honey Honey Cafe & Crepery,4.5,1387,.08
80836,Sanraku Japanese Restaurant,4.5,875,.07
80836,Ryoko's Japanese Restaurant & Bar,4.5,533,.07
80879,bar agricole,4,129,.16
80879,Halu,4.5,11,.14
80879,Wicked Grounds,4.5,12,.18
80879,Kama Sushi,4.5,19,.10
80920,The Old Siam Thai Restaurant,4,499,.06
80920,Kin Khao,4,311,.05
80920,Puccini & Pinetti,4,961,.07
80920,Little Delhi Restaurant,4,358,.01
80930,Leopold's,4.5,141,.21
80930,Helmand Palace,4.5,117,.20
80930,The New Spot On Polk,5,17,.20
80930,Bobo's Steakhouse,4,336,.05
80937,Jeanne D'arc,4.5,462,.00
80937,Roxanne Cafe,4,793,.02
80937,Uncle Vito's Pizzeria,4,1182,.01
80937,Maru Sushi,4,406,.03
80983,B. Patisserie,4.5,168,.31
80983,Garibaldi's on Presidio,4.5,156,.34
80983,Scopo Divino,5,25,.30
80983,Eliza's,4.5,65,.31
80987,Roma Antica,5,25,.06
80987,Yukol Place Thai Cuisine,4.5,67,.03
80987,Pluto's Fresh Food for a Hungry Universe,4.5,74,.08
80987,Viva Goa,4,92,.06
80990,Gaspar Brasserie,4,109,.01
80990,Bread and Cocoa,4,229,.01
80990,Rickhouse,4.5,62,.06
80990,Aquitaine WIne Bistro,4.5,60,.01
80999,E&O Kitchen and Bar,4,780,.08
80999,Sears Fine Foods,4,3118,.08
80999,Campton Place Restaurant,4.5,306,.02
80999,Bouche,4.5,322,.07
81004,Cafe Claude,4,562,.10
81004,Cafe De La Presse,4,1215,.06
81004,Ramen Underground,4.5,141,.09
81004,Parallel 37,4.5,219,.10
81019,Pinecrest Diner,4,1349,.05
81019,Daily Grill,4,1262,.01
81019,Cafe Mason,4,1016,.06
81019,Eno Wine Bar,4.5,289,.02
81022,Boulevard,4.5,1623,.07
81022,Yank Sing,4.5,717,.07
81022,Ozumo,4,657,.00
81022,Perry's on the Embarcadero,4,365,.02
81035,Sam's Diner,4.5,516,.08
81035,Ananda Fuara,4.5,120,.12
81035,Gyro King,4,92,.09
81035,Cadillac Bar & Grill,4,42,.10
81038,Sam Wo,4,107,.06
81038,Alfred's Steakhouse,4,309,.03
81038,Mangia Tutti Ristorante,4.5,64,.06
81038,Enjoy Vegetarian Restaurant,4,67,.06
81042,Eight Am,4.5,603,.06
81042,The Baked Bear - Custom Ice Cream Sandwiches,4.5,140,.08
81042,The Codmother Fish & Chips,4.5,1050,.10
81042,Carmel Pizza Company,4.5,330,.09
81049,Crustacean,4,360,.05
81049,Ruth's Chris Steak House,4.5,420,.05
81049,Ben Thai Cafe,5,39,.09
81049,The Grubstake,4,167,.05
81082,Eight Am,4.5,603,.06
81082,The Baked Bear - Custom Ice Cream Sandwiches,4.5,140,.07
81082,Norman's Ice Cream and Freezes,4.5,268,.07
81082,Joanie's Happy Days Diner,4.5,590,.06
81103,Philz Coffee,4.5,23,.01
81103,One Market Restaurant,4,497,.06
81103,Ziggy's Burgers,4,146,.05
81103,Osha Thai Restaurant,4,217,.06
81110,E&O Kitchen and Bar,4,780,.05
81110,Campton Place Restaurant,4.5,306,.02
81110,Bouche,4.5,322,.08
81110,Hops and Hominy,4,361,.05
81141,Eight Am,4.5,603,.10
81141,Hollywood Cafe,4.5,3292,.10
81141,The Baked Bear - Custom Ice Cream Sandwiches,4.5,140,.12
81141,The Codmother Fish & Chips,4.5,1050,.12
81165,The Old Siam Thai Restaurant,4,499,.06
81165,Kin Khao,4,311,.03
81165,Puccini & Pinetti,4,961,.01
81165,Tad's Steakhouse,4,689,.05
81169,Amber,4.5,774,.07
81169,The View Lounge,4.5,342,.04
81169,Super Duper Burgers,4.5,187,.06
81169,Mel's Drive-In - Mission St.,4,889,.05
81170,Tocaya Organica,4.5,108,.06
81170,Menotti's Coffee Stop,4.5,61,.02
81170,Larry's,4,247,.04
81170,mao's kitchen,4,167,.07
81177,Harris' Steakhouse,4.5,717,.05
81177,Lord Stanley,4.5,58,.06
81177,The Bell Tower,4.5,83,.08
81177,Nick's Crispy Taco's,4,106,.07
81204,Hidden Vine,4.5,56,.02
81204,Starbucks,4.5,42,.01
81204,Cafe Me,5,21,.07
81204,Sai's Restaurant,4.5,28,.06
81241,Sam's Diner,4.5,515,.03
81241,Ananda Fuara,4.5,120,.08
81241,Gyro King,4,92,.04
81241,Cadillac Bar & Grill,4,42,.10
81246,Sightglass Coffee,4.5,136,.03
81246,Rocco's Cafe,4.5,181,.08
81246,Basil - Thai Restaurant & Bar,4,127,.13
81246,Vive La Tarte,5,26,.12
81249,Roam Artisan Burgers,4.5,353,.25
81249,Pane e Vino,4.5,151,.23
81249,Bobo's Steakhouse,4,336,.05
81249,Bobo's Burger Bar,4.5,27,.08
81251,Tommy's Joynt,4,574,.03
81251,Mel's Drive-In - Van Ness,4,412,.01
81251,Village Pizzeria,4.5,68,.14
81251,De Afghanan Kabob House,4.5,29,.05
81315,Amber,4.5,774,.06
81315,The View Lounge,4.5,342,.01
81315,Super Duper Burgers,4.5,187,.03
81315,Mel's Drive-In - Mission St.,4,889,.07
81367,Cliff House,4.5,1545,.27
81367,Sutro's,4,248,.27
81367,The Bistro at Cliff House,4,165,.27
81367,Louis' Restaurant,4,242,.19
81375,Frankie’s Pier 43,4,40,.14
81375,Hollywood Cafe,4.5,3292,.14
81375,Darren's Cafe,4.5,380,.14
81375,Bistro Boudin,4,3594,.11
81377,Jeanne D'arc,4.5,462,.07
81377,Farallon,4,1157,.07
81377,Sears Fine Foods,4,3118,.01
81377,Scala's Bistro,4,1804,.01
81394,Farallon,4,1156,.06
81394,Colibri Mexican Bistro,4,1041,.06
81394,Akiko's Sushi Bar and Restaurant,4.5,374,.06
81394,Pinecrest Diner,4,1349,.06
81409,Farallon,4,1157,.01
81409,Sears Fine Foods,4,3118,.05
81409,Cesario's,4,512,.07
81409,Akiko's Sushi Bar and Restaurant,4.5,374,.06
81416,Octavia,4.5,118,.11
81416,Waraku,4.5,71,.21
81416,Village Pizzeria,4.5,67,.20
81416,Wayo Sushi Restaurant,4.5,26,.20
81444,The Owl Tree Bar,4,39,.07
81444,Farallon,4,1157,.06
81444,Colibri Mexican Bistro,4,1041,.07
81444,Cesario's,4,512,.06
81461,Farallon,4,1156,.06
81461,The Cheesecake Factory,4,5319,.07
81461,Morton's - The Steakhouse,4,1180,.04
81461,Daily Grill,4,1262,.04
81466,Frankie’s Pier 43,4,40,.08
81466,Boudin Sourdough Bakery & Cafe,4.5,1399,.10
81466,Darren's Cafe,4.5,380,.08
81466,Bistro Boudin,4,3595,.05
81480,Home Plate,4.5,434,.10
81480,Mel's Drive-In - Lombard,4,882,.05
81480,Ristorante Parma,4.5,172,.08
81480,Atelier Crenn,4.5,198,.09
1223830,Zuni Cafe,4,892,.11
1223830,Espetus Churrascaria,4.5,285,.08
1223830,Burma Love,4.5,116,.17
1223830,It's Tops Coffee Shop,4,55,.08
81503,Home Plate,4.5,434,.04
81503,Blackwood,4.5,191,.05
81503,Ristorante Parma,4.5,172,.03
81503,Isa,4.5,232,.04
81511,A16,4,530,.27
81511,Presidio Social Club,4,287,.11
81511,Causwells,4.5,64,.29
81511,Mamacita Restaurant & Bar,4,230,.31
81514,E&O Kitchen and Bar,4,780,.06
81514,Hops and Hominy,4,361,.08
81514,Cafe Claude,4,562,.07
81514,Cafe De La Presse,4,1215,.01
81520,Johnny Foley's,4,1096,.06
81520,John's Grill,4,1932,.05
81520,Puccini & Pinetti,4,961,.05
81520,Tad's Steakhouse,4,689,.01
81531,Jeanne D'arc,4.5,461,.06
81531,Roxanne Cafe,4,793,.04
81531,Uncle Vito's Pizzeria,4,1182,.04
81531,Bouche,4.5,322,.05
81553,Taqueria San Bruno,4.5,43,.69
81553,Houlihan's,3.5,291,.21
81553,Denny's,3.5,169,.44
81553,The Brass Elephant,4,41,.07
81669,The Grove,4.5,954,.10
81669,Mourad,4.5,278,.10
81669,Thirsty Bear Brewing Company,4,443,.05
81669,Fogo de Chao Brazilian Steakhouse,4.5,131,.02
81765,Raffaello Ristorante,4.5,179,.37
81765,Happy Diner,4.5,57,.10
81765,Grinder Restaurant San Pedro,4,81,.16
81765,Green Onion,4.5,64,.06
81768,Raffaello Ristorante,4.5,179,.30
81768,Sushi 21,4,16,.03
81768,Ono Hawaii BBQ,4,19,.14
81768,San Pedro Deli and Cafe,4.5,8,.35
81782,Zuni Cafe,4,892,.01
81782,Rich Table,4.5,234,.12
